Denominação,Outro nome,NIF,Doc ID,Capital Social,Número de Acções/Quotas,Valor Nominal,Natureza,Objecto,CAE,CAE Secundário 1,CAE Secundário 2,CAE Secundário 3,Facto,Data do facto (publicação),Valor do Facto,Modalidade e forma de subscrição:,,Categorias,Ordinárias,Categoria A,Categoria B,Categoria C,Classe A1,Classe B1,Preferenciais,Classe D,Classe E,Classe F,Classe G,Classe H,Classe I,Classe J,Classe K,Classe L,Acções preferenciais sem voto,Classe Promotor,Emissão de Valores Mobiliarios (Montante),Valores Mobiliários Valor nominal/Preço de Exercício,Activo Subjacente,N.º de Valores a emitir
NUTRI VENTURES CORPORATION - NVC S.A.,,509667694,14,1782842,1782842,1,,,,,,,Aumento,08/04/2014,104873,realizado em dinheiro e subscrito por um accionista,,Y,1468223,314619,,,,,,,,,,,,,,,,,,,,
NUTRI VENTURES CORPORATION - NVC S.A.,,509667694,15,1887715,1887715,1,,,,,,,Aumento,12/06/2014,104873,"dinheiro, mediante a emissão de 104.873 novas ações de categoria A, com o valor nominal de 1,00 Euro, cada uma.",,Y,1468223,419492,,,,,,,,,,,,,,,,,,,,
NUTRI VENTURES CORPORATION - NVC S.A.,,509667694,19,3135535,3135535,1,,,,,,,Aumento,23/10/2015,1247820,"incorporação de reservas, mediante a emissão de 651.454 novas ações ordinárias e 596.366 novas acções da categoria A, com o valor nominal de 1,00 Euro, cada uma.",,Y,2119676,1015859 ­,,,,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",,508025095,1,30000,2,27000; 3000,quotas,"Indústria de transformação de frutas e legumes, sumos, 4.a gama e conexos.",10395 - Preparação e conservação de frutos e de produtos hortícolas por outros processos,,,,Constituição,07/03/2007,30000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",,508025095,4,500000,500000,1,nominativas,,,,,,Aumento e Alteração,30/12/2008,470000,"realizado em dinheiro e subscrito pelo sócio Manuel Carlos Seara Carvalhinha Alves Costa, a quantia de 469 999,00 euros e pela entrada dos novos sócios Alexandre José da França Bettencourt Jardim de Oliveira, Patrícia Morgado Barrocas da Costa Gomes, Lídia Oliveira Santos e Filipe de Almada Tavares de Carvalho, a quantia de 1,00 euro cada.",,N,,,,,,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",,508025095,5,625000,625000,1,nominativas,,,,,,Aumento,16/01/2009,125000,"Em dinheiro, subscrito pela accionista única",,Y,500000,125000,,,,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",,508025095,8,0,0,0,,,,,,,Redução,16/06/2016,625000,cobertura de prejuízos,,N,,,,,,,,,,,,,,,,,,,,,,
"NUTRIGREEN, S.A.",,508025095,8,625000,625000,1,nominativas,,,,,,Aumento,16/06/2016,625000,em dinheiro por uma nova acionista,,N,,,,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,504995634,1,1332348,13323480,0.1,,,62090 - Outras actividades relacionadas com as tecnologias da informação e informática,,,,Convocatória,12/03/2007,0,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,504995634,3,1332348,13323480,0.1,"nominativas, podendo assumir a forma escritural",,,,,,Alteração,14/08/2007,0,,,N,7478200,,5844760,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,504995634,5; 6,136996.1,13699610,0.1,,"produção e distribuição de software, consultadoria informárica, formação, representação de marcas ou produtos de sistemas de informação, e revenda de hardware informático",,,,,Aumento,06/10/2009,37613,em dinheiro,,Y,7478200,,622090,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,504995634,9,1332348,13323480,0.1,,"Produção e distribuição de software, consultoria informática, formação, representação de marcas ou produtos e sistemas de informação, e revenda de hardware informático.2­ A sociedade pode adquirir e alienar participações em sociedades, com objecto igual ou diferente do descrito no número anterior, mesmo que regidas por leis especiais, bem como associar­se com outras pessoas juridicas para, nomeadamente, formar agrupamentos complementares de empresas, agrupamentos europeus de interesse económico, novas sociedades, consórcios, associações e associações em participação, e, bem assim, constituir ou participar em quaisquer outras formas de associação, temporária ou permanente, entre sociedades e ou entidades de direito público ou privado.",,,,,Alteração,26/11/2013,0,,,Y,7478720,3020794,2823966,,,,,,,,,,,,,,,,,,,
"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,504995634,14,1472708.1,14727081,0.1,,,,,,,Aumento,03/06/2016,102747.1,em dinheiro,,Y,6468056,8259025,,,,,,,,,,,,,,,,,,,,
"PEPFEED, S,A",,510820484,1,2500,1,2500,quotas,"Desenvolvimento de Software informático;Actividades de programação informática; Actividades de consultoria em informática, comercio de software.",62010 - Actividades de programação informática,,,,Constituição,14/10/2013,2500,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PEPFEED, S,A",,510820484,2,2500,4,"1.800; 575; 62,50; 62,50",quotas,,,,,,Alteração,18/12/2014,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PEPFEED, S,A",,510820484,3,50339.71,5033971,0.01 Euros,nominativas,,,,,,Alteração e Aumento,10/03/2015,47839.71,"Realizado quanto 40.647,22 em prestações suplementares pelos atuais sócios, Daniel Alexandre Bouçanova Loureiro; Joel Filipe de Araújo e Silva Azevedo e Ekybusiness, S.A. com as quantias de 30.282,92 Euros, 1.015,21 Euros e 9.349,09 Euros cada um respetivamente e com a entrada de dois novos sócios, Vilma Daniela Abreu Daniela Abreu Moreira ­NIF ­ 214 248 615 e Fundo de Capital de Risco Portugal Ventures Universitas, gerido por Portugal Capital Ventures-Sociedade de Capital de Risco, S.A. ­ NIPC ­ 502 206 12. com a quantia de 7.191,49 Euros e 1,00 Euros cada um, respetivamente.",,Y,4314822,719149,,,,,,,,,,,,,,,,,,,,
"PEPFEED, S,A",,510820484,5,55134.03,5513403,0.01,,,,,,,Aumento,19/05/2016,4794.32,"Integralmente realizado em numerário na modalidade de novas entradas subscrito pelo accionista FCR Portugal Ventures Universitas, NIF­ 720012708 gerido por Portugal Capital Ventures ­ Sociedade de Capital de Risco, S.A.",,Y,4314822,1198581,,,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",,510642926,1,1500,2,765; 735,quotas,"Investigação e desenvolvimento de algoritmos, software e hardware. Prestação de serviços de engenharia informática e electrotécnica. Actividades de programação e consultadoria informática e tecnologias de informática. Comércio, exportação e importação de material e equipamento relacionado com as actividades. Gestão e exploração de equipamento informático. Investigação e desenvolvimento de biotecnologia.",72190 - Outra investigação e desenvolvimento das ciências físicas e naturais,,,,Constituição,27/05/2013,1500,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",,510642926,2,9002381,9002381,0.01,nominativas,,,,,,Aumento e Alteração,07/08/2013,88523.81,"Modalidade e forma de subscrição: em espécie quanto a 60.322,98 subscrito por ambos os sócios, João Pedro de Almeida Barreto quanto a 30.146,49 e Rui Jorge Melo Teixeira com 30.176,49 e em dinheiro quanto a 28.200,83 por ambos os sócios com 8.000,00 cada um e pelos novos sócios, Brasílina da Rocha Almeida Barreto e Vítor Manuel Castela Pedro, com 0,01 cada um e ""Fundo de Capital de Risco Portugal Ventures Biocant"", gerido por ""Portugal Capital Ventures ­ Sociedade de Capital de Risco, S.A.""com 12.200,81.",,Y,7782300,1220081,,,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",,510642926,3,9689469,9689469,0.01,,,,,,,Aumento,26/06/2014,6870.88,"em dinheiro, correspondendo esse montante à emissão de 687.088 acções de categoria A.",,Y,7782300,1907169,,,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",,510642926,4,104293.97,10429397,0.01,,,,,,,Aumento,21/08/2015,7399.28,Em numerário,,Y,7782300,2647097,,,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",,510642926,5,109094.7,10909470,0.01,nominativas,,,,,,Aumento,28/10/2015,4800.73,Realizado e subscrito em numerário.,,Y,7782300,3127170,,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,,509923275,1,50000,50,1000,Ao portador.,"Desenvolvimento e comercialização de excipientes para a indústria farmacêutica, alimentar e nutracêuticos, a partir de biopolímeros.",21100 - Fabricação de produtos farmacêuticos de base,,,,Constituição,26/09/2011,50000,,,N,,,,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,,509923275,3,50000,10000,5,nominativas ou ao portador e reciprocamente convertíveis,,,,,,Alteração,25/01/2012,0,,,N,,,,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,,509923275,5,104000,20800,5,,,,,,,Aumento e Alteração,13/10/2015,54000,realizado em dinheiro e subscrito por uma accionista,,N,,,,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,,509923275,7,254000,50800,5,"Nominativas ou ao portador, recíprocamente convertíveis.",,,,,,Aumento,29/01/2016,150000,"Realizado em dinheiro e subscrito pelos acionistas mediante a emissão de 30.000 novas acções com o valor nominal de 5,00 cada uma.",,N,50800,,,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,,509923275,8,102000,20400,5,,,,,,,Redução,07/07/2016,152000,,,N,20400,,,,,,,,,,,,,,,,,,,,,
"PLUX - WIRELESS BIOSIGNALS, S.A.",,508041589,1,300,3,100; 100; 100,quotas,"Pesquisa, o desenvolvimento, a produção e a comercialização de produtos químicos e biológicos, extraídos de bactérias e outros organismos",72110 - Investigação e desenvolvimento em biotecnologia,,,,Constituição,09/11/2013,300,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PLUX - WIRELESS BIOSIGNALS, S.A.",,508041589,2,5000,3,1666; 1667; 1667; ,,,,,,,Aumento,20/01/2015,4700,"em numerário e subscrito quanto a 1.566,00 euros pelo sócio Gonçalo Martins Conde da Costa e quanto a 1.567,00 euros por cada um dos sócios Patrick de Oliveira Freire e Romana Lopes Almeida dos Santos",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PLUX - WIRELESS BIOSIGNALS, S.A.",,508041589,3,25002,5,8333; 8333; 8334; 1; 1,,,,,,,Aumento,27/04/2015,20002,"numerário, subscrito quanto a 6.667,00 euros por cada um dos sócios Patrick de Oliveira Freire e Gonçalo Martins Conde da Costa, quanto a 6.666,00 euros pela sócia Romana Lopes Almeida dos Santos, e quanto a 1,00 euro por cada uma das novas sócias, Intercapital ­Investimento e Gestão de Activos, S.A. e Fundo Capital de Risco Caixa Tech Transfer Accelerator Ventures, gerida pela Caixa Capital ­ Sociedade de Capital de Risco, S.A.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"PLUX - WIRELESS BIOSIGNALS, S.A.",,508041589,7,75720,7572,10,nominativas,,,,,,Aumento,30/10/2015,6890,"Realizado por entradas em espécie, mediante a conversão de prestações acessórias e suprimentos.",,Y,7089,483,,,,,,,,,,,,,,,,,,,,
"SAKPROJECT INTERNATIONAL, S.A",,510434126,1,50000,5000000,0.01,nominativas,"Desenvolvimento, produção, aluguer, comércio por grosso e a retalho, importação e exportação de equipamento de protecção e segurança pessoal, equipamento desportivo, vestuário, acessórios, personalizados e próteses; serviços de projecto, digitalização tridimensional e prototipagem.",32994 - Fabricação de equipamento de protecção e segurança,,,,Constituição,12/11/2012,50000,,,N,,,,,,,,,,,,,,,,,,,,,,
"SAKPROJECT INTERNATIONAL, S.A",,510434126,2,60000,6000000,0.01,nominativas,,,,,,Aumento,23/11/2012,10000,"Modalidade e forma de subscrição: em dinheiro por novos acionistas, mediante a emissão de 1.000.000 de novas acões com o valor nominal de 0,01 euro cada uma",,Y,4200000,1800000,,,,,,,,,,,,,,,,,,,,
"SAKPROJECT INTERNATIONAL, S.A",,510434126,4,77777.77,7777777,0.01,nominativas.,,,,,,Aumento,30/01/2015,17777.77,"Em numerário, pela emissão de 1.777.777 novas ações do valor nominal de 0,01 euro, cada uma.",,Y,4200000,3577777,,,,,,,,,,,,,,,,,,,,
"SCIENCE4YOU, S.A.",,508457467,1,55000,55000,1,"nominativas ou ao portador, ordinárias e especiais","produção, comércio, importação e exportação, representação de kits de investigação científica e formação profissional e brinquedos didácticos.","47784 - Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n. e",,,,Constituição,19/02/2008,55000,,,N,,,,,,,,,,,,,,,,,,,,,,
"SCIENCE4YOU, S.A.",,508457467,3,100000,100000,1,,,,,,,Aumento,20/07/2009,45000,numerário,,,,,,,,,,,,,,,,,,,,,,,,
"SCIENCE4YOU, S.A.",,508457467,4,253358,253358,1,,,,,,,Aumento e Alteração,08/01/2013,103358,"Realizado em dinheiro, mediante a emissão de 103.358 novas acções com o valor nominal de 1,00 euro cada uma. Montante realizado: 83.717,00",,N,,,,,,,,,,,,,,,,,,,,,,
"SCIENCE4YOU, S.A.",,508457467,6,253358,253358,1,,,,,,,Emissão de OBRIGAÇÕES REALIZADA POR OFERTA PARTICULAR,18/09/2015,300000,,,N,,,,,,,,,,,,,,,,,,,3000000,1,,
"SCIENCE4YOU, S.A.",,508457467,7,382490,382490,1,,,,,,,Aumento,22/09/2015,129132,"realizado quanto a 67 478,00 euros por conversão de prestações acessórias, 21 535,00 euros através de suprimentos e 40 119,00 euros em dinheiro",,N,,,,,,,,,,,,,,,,,,,,,,
"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",,510985637,1,123560.55,12356055,0.01,"nominativas, tituladas ou escriturais","Desenvolvimento de software; Divulgação e Promoção turística e cultural na área do mergulho; Criação de conteúdos ligados ao mergulho, como locais de mergulho, espécies marinhas, técnicas de mergulho, fotografia subaquática; Estimular o desenvolvimento do Mergulho em Portugal;",62090 - Outras actividades relacionadas com as tecnologias da informação e informática,,,,Constituição,18/03/2014,123560.55,,,Y,10500000,1856055,,,,,,,,,,,,,,,,,,,,
"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",,510985637,3,0,0,0,,,,,,,Dissolução,20/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,508206383,1,5000,2,4000; 1000,quotas,"a) A prestação de serviços de isolamento, criopreservação e expanção de células humanas; b) A comercialização de suportes materiais para regeneração de tecidos e orgãos; c) O desenvolvimento e comercialização de tecnologias de regeneração de tecidos humanos; d) A investigação e desenvolvimento de tecnologias para aplicação biomédica sob contrato; e) A organização e promoção de eventos em domínios científicos e tecnológicos.",72110 - Investigação e desenvolvimento em biotecnologia,32502 - Fabricação de material ortopédico e próteses e de instrumentos médico-cirúrgicos,46460 - Comércio por grosso de produtos farmacêuticos,,Constituição,16/11/2007,5000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,508206383,2,123250,10,4000; 29713; 1000; 10237; 14500; 21750; 7250; 13050; 7250; 14500,quotas,,,,,,Aumento,02/11/2011,118250,"novas entradas em dinheiro, através da criação de novas quotas subscritas da seguinte forma: a) actuais sócios: Rui Luís Gonçalves dos Reis ­ 29.713 euro; Rui Pedro Romero Amandi de Sousa ­ 10.237 euro; b) novos sócios: ""FJR, SGPS, S.A."" ­14.500 euro; ""Pathena, SGPS, S.A."" ­ 21.750 euro; ""Daninves, SGPS, S.A."" ­7.250 euro; ""Fundo de Capital de Risco Beta Ciências da Vida"" ­ 13.050 euro; ""CGC Centro de Genética Clínica e Patologia, S.A."" ­ 7.250 euro; e Fundo de Capital de Risco Empreender Mais ­ Caixa Capital ­ 14.500 euro.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,508206383,3,123250,123250,1,"nominativas, tituladas ou escriturais",,,,,,Alteração,02/11/2011,0,"Categoria A: 44370 acções ordinárias comuns; Categoria B: 73.950 acções ordinárias comuns, com direitos especiais na partilha do activo resultante da liquidação da sociedade; Categoria C: 4930 acções preferenciais, com direitos especiais na distribuição de dividendos",,Y,,44370,73950,4930,,,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,508206383,5,188367,188367,1,"nominativas, tituladas ou escriturais",,,,,,Aumento,07/04/2016,65117,"Realizado através da conversão de prestações acessórias, subscrito por todos os accionistas, mediante a emissão de 65.117 novas acções no valor nominal de 1,00 euro cada uma.",,N,188367,,,,,,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,508206383,6,211833.88,21183388,0.01,,,,,,,Aumento,12/05/2016,23466.88,"conversão de suprimentos quanto a 4.439,68 Euros e em dinheiro quanto a 19.027,20 Euros",,Y,10442100,8394600,2346688,,,,,,,,,,,,,,,,,,,
"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",,506766128,2,33330,7,6666; 1667.5; 4999.5; 4999.5; 13330; 1667.5,quotas,"produção, realização, distribuição, exibição e comercialização de audiovisuais, teatro e espectáculos musicais","59110 - Produção de filmes, de vídeos e de programas de televisão",,,,Alteração,20/12/2012,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
THELIAL TECHNOLOGIES S.A.,,509066569,1,65798,65798,1,nominativas,serviços e tecnologia em biotecnologia,72110 - Investigação e desenvolvimento em biotecnologia,,,,Constituição,27/07/2009,65798,,,Y,60798,5000,,,,,,,,,,,,,,,,,,,,
THELIAL TECHNOLOGIES S.A.,,509066569,2,135798,135798,1,,,,,,,Aumento e Alteração,04/03/2011,70000,realizado em dinheiro e subscrito por um novo accionista,,Y,,,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",TOP Docs,509841686,1,500,1,500,quotas,"Actividades de design. Actividades de investigação. Actividades de programação informática. Actividades fotográficas. Actividades de arquitectura. Prestação de todos os serviços relacionados com o web design, informática e novas tecnologias",74100 - Actividades de design,62010 - Actividades de programação informática,71110 - Actividades de arquitectura,,Constituição,20/01/2012,500,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",,509841686,2,24000,2,18000; 6000,quotas,,,,,,Aumento e Alteração,29/01/2014,23500,Realizado em dinheiro e subscrito pelo sócio Nelson Manuel Cardoso Pereira.,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",,509841686,5,24000,3,15673.30; 5000; 3326.70,quotas,,,,,,Alteração,26/12/2014,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",,509841686,6,54480.39,5448039,0.01,"nominativas, tituladas ou escriturais",,,,,,Aumento e Alteração,02/02/2015,30480.39,"numerário, subscrito quanto a 12.156,43 euros pelo sócio Nelson Manuel Cardoso Pereira, quanto a 3.762,70 euros pelo sócio Fernando Miguel Couto de Jesus, quanto a 9.237,79 euros pelo novo sócio Fundo Capital de Risco Portigal Ventures Acelerador de Comercialização de Tecnologia II ­ NIPC 720012724 gerido por Portugal Capitla Ventures ­ Sociedade de Capital de Risco, S.A., Avenida Dr. Antunes Guimarães, no 103, Porto e quanto a 5.323,47 euros pelo novo sócio, Fundo de Capital de Risco Minho Inovação e Internacionalização ­ NIPC 720012821 gerido por 2bpartner ­ Sociedade de Capital de Risco, S.A., Rua de Pitancinhos, Apartdo 208, Palmeira ­ Braga",,N,,,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",,509841686,8,60752.94,6075294,0.01,,,,,,,Aumento,25/07/2015,6272.55,Realizado por conversão das prestações acessórias e subscritas pelos actuais accionistas.,,Y,3991913,2083381,,,,,,,,,,,,,,,,,,,,
"UNBABEL, LDA",,510852254,1,100,4,"40; 20; 28, 12",quotas,,62010 - Actividades de programação informática,,,,Constituição,14/10/2013,100,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"UNBABEL, LDA",,510852254,2,100,5,"28; 20; 28, 12, 12",quotas,,,,,,Alteração,13/12/2013,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"VENIAM, UNIPESSOAL LDA",,510213650,1,5000,2,3000; 2000,quotas,"A Veniam Lda é uma empresa de base tecnológica que comercializa tecnologias de redes sem fios para comunicação entre veículos, com especial enfoque em aplicações de mobilidade inteligente e na ligação de veículos à Internet. Utilizando tecnologias de redes em malha (""mesh""), a Veniam implementa soluções robustas e de baixo custo para garantir conetividade permanente, mesmo quando a rede celular não está disponível. Como resultado da implementação da tecnologia Veniam, podem ser desenvolvidas soluções que aumentam a eficiência de frotas comerciais, reduzem a congestão de tráfego, facilitam a integração de veículos eléctricos em redes de distribuição e melhoram a segurança e qualidade de experiência de condutores e passageiros. As principais tecnologias desenvolvidas pela Veniam são: ­ interfaces sem fios para redes veiculares (pontos de acesso fixos e unidades móveis para veículos); ­ arquitecturas de rede auto­configuráveis e protocolos de comunicação para redes de veículos; ­ mecanismos de segurança de comunicação para veículos em rede. Complementarmente, a Veniam desenha e implementa redes veiculares ad­hoc para um conjunto diversificado de modelos de negócio. Utilizando simulação avançada, a Veniam produz estudos detalhados sobre a qualidade de serviço, largura de banda, latência e cobertura de rede para cidades, densidades de veículos e cenários de tráfego específicos. Os resultados destas simulações são utilizados para optimizar a performance de instalações de redes veiculares.",62010 - Actividades de programação informática,61200 - Actividades de telecomunicações sem fio,"74900 - Outras actividades de consultoria, científicas, técnicas e similares, n. e",,Constituição,14/03/2012,5000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"VENIAM, UNIPESSOAL LDA",,510213650,2,5000,2,,,,,,,,Alteração,29/10/2012,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"VENIAM, UNIPESSOAL LDA",,510213650,6,165000,1,165000,quotas,,,,,,Aumento,07/10/2014,150000,em dinheiro a subscrever pela actual sócia única.,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"VENIAM, UNIPESSOAL LDA",,510213650,7,465000,1,465000,quotas,,,,,,Aumento,12/01/2015,300000,"em dinheiro quanto a 200000,00 e 100000,00 em espécie em reforço da quota",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"VENIAM, UNIPESSOAL LDA",,510213650,8,1500000,1,1500000,quotas,,,,,,Aumento,18/12/2015,1035000,"em dinheiro, subscrito pela única sócia, em reforço da sua quota.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",,504901575,1,604717.81,60471781,0.01,acções preferenciais.,,62010 - Actividades de programação informática,,,,Aumento,14/02/2006,104717.81,Em dinheiro representado pela emissão de 10471781 novas acções preferenciais.,,Y,50000000,,,,,,10471781,,,,,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",,504901575,"4, 5",604717.81,60471781,0.01,,,,,,,Alteração,28/09/2010,0,,,Y,42619641,,,,,,17852140,,,,,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",,504901575,6,1537632.72,153763272,0.01,nominativas,,,,,,Aumento e Alteração,05/01/2012,932914.91,"conversão de suprimentos detidos pelos accionistas, através da emissão de 93.291.491 nominativas com o valor nominal de 0.01 Euros cada uma, sendo ",,Y,78212484,63881540,11669248,,,,,,,,,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",,504901575,8,1537632.72,153763272,0.01,,,,,,,HOMOLOGAÇÃO DO PLANO DE RECUPERAÇÃO EM PROCESSO DE REVITALIZAÇÃO,25/05/2015,0,,,Y,,,,,,,,,,,,,,,,,,,,,,
"YDREAMS - INFORMÁTICA, S.A.",,504901575,9,1537632.72,153763272,0.01,,,,,,,Conv. PER,05/06/2015,0,Data do trânsito em julgado: 11 de Maio de 2015,,Y,,,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.","G3P Technologies - Investigação, Desenvolvimento e Inovação, S.A.",508949270,1,5000,4,1500; 1500; 1500; 500,quotas,"Prestação de serviços técnicos na área de gestão de activos físicos; consultoria e formação técnica nas áreas de manutenção, produção e métodos e práticas para a melhoria de produtividade; auditorias tecnicas na área da manutenção, produtividade e eficiência energética.",72190 - Outra investigação e desenvolvimento das ciências físicas e naturais,,,,Constituição,17/04/2009,5000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",,508949270,5,5000,4,1500; 1500; 1500; 500,quotas,"(a) A realização de investimentos nas áreas de desenvolvimento tecnológico e a prestação de (a) A realização de investimentos nas áreas de desenvolvimento tecnológico e a prestação de serviços no âmbito de projectos e estudos ligados às novas tecnologias; (b) A elaboração de trabalhos nos domínios (i) da investigação e desenvolvimento, (ii) dos serviços e sistemas e (iii) da demonstração e divulgação de tecnologias, designadamente no âmbito da tecnologia de terminais pagamentos automáticos, terminais gestão de frota, controlo de acessos, localizadores de activos físicos; (c) A prestação de serviços de concepção, fornecimento, instalação, colocação em serviço e manutenção de equipamentos e sistemas, designadamente electrónicos, mencionados em (b); (d) O desenvolvimento e gestão de conteúdos para a Internet ou para outros suportes de comunicações, no âmbito das actividades e serviços referidos nas alíneas anteriores; (e) A prestação de serviços técnicos na área de gestão de activos físicos, consultoria e formação técnica nas áreas de manutenção, produção e métodos e práticas para a melhoria de produtividade, auditorias técnicas da manutenção, produtividade e eficiência energética.",,,,,Alteração,09/07/2010,0,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",,508949270,6,3500,3,1500; 1500; 500,quotas,,,,,,Redução,30/01/2012,-1500,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",,508949270,8,59166,5916600,0.01,nominativas,,,,,,Aumento e Alteração,20/08/2013,55666,"em dinheiro quanto a 9.166,00 euros pela nova sócia ""Fundo de Capital de Risco Portugal Ventures Acelerador de Comercialização de Tecnologia II"", gerido por ""Portugal Capital Ventures ­ Sociedade de Capital de Risco, S.A."", e quanto a 46.500,00 euros em espécie, pelo sócio Pedro Manuel Monteiro Mourato Gordo com 3.500,00 euros e pelos novos sócios António Gabriel de Almeida, com 3.500,00 euros, Agro Consultores,Lda com 21.000,00 euros e Talent Minds,Lda com 2.000,00 euros",,Y,5000000,916600,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",,508949270,10,74942.1,7494210,0.01,nominativas,,,,,,Aumento,21/11/2014,15776.1,"novas entradas em dinheiro, mediante subscrição particular da emissão de 1.577.610 novas acções da categoria A, com o valor nominal de 0,01 (com ágio)",,Y,5000000,2494210,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",,508949270,11,81992.87,8199287,0.01,nominativas,,,,,,Aumento e Alteração,14/04/2015,7050.77,Em numerário,,N,,,,,,,,,,,,,,,,,,,,,,
"ZUVI NOVA, S.A.",,508993970,1,5000,2,2500; 2500,quotas,"Edição de revistas e outras publicações periódicas e não periódicas, realização de eventos, formação profissional, outras actividades de edição, consultoria editorial e consultoria de gestão.","82990 - Outras actividades de serviços de apoio prestados às empresas, n. e",62010 - Actividades de programação informática,,,Constituição,20/05/2009,5000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"ZUVI NOVA, S.A.",,508993970,2,64000,4,"29500; 29500, 2500; 2500",quotas,,,,,,Aumento,02/05/2011,59000,"Conversão em capital das prestações suplementares, pela Constituição de duas novas quotas no valor de 29.500,00 cada uma.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"ZUVI NOVA, S.A.",,508993970,3,64000,64000,1,nominativa,,,,,,Alteração,20/05/2011,0,,,N,,,,,,,,,,,,,,,,,,,,,,
"ZUVI NOVA, S.A.",,508993970,4,89720,89720,1,nominativa,,,,,,Aumento,18/07/2011,25720,"Realizado em dinheiro através da emissão de 25.720 novas acções com o valor nominal de 1,00 euro cada uma, subscritas pela entrada de cinco novos accionistas.",,N,,,,,,,,,,,,,,,,,,,,,,
